,User,Text,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
22,BBCNews,"RT @BBCNews: Serena Williams should be ready for Wimbledon, says her coach https://t.co/wWMQmZEckl",22,0.3612,0.172,0.828,0.0
23,BBCNews,"Serena Williams should be ready for Wimbledon, says her coach https://t.co/wWMQmZEckl",23,0.3612,0.2,0.8,0.0
24,BBCNews,Sofija Kaczan death: Man in court charged with 100-year-old's manslaughter https://t.co/CwjfOCJnPu,24,-0.6908,0.0,0.612,0.388
25,BBCNews,Taliban agree three-day Eid ceasefire in Afghanistan https://t.co/J8edT9yKWI,25,0.3612,0.263,0.737,0.0
26,BBCNews,"Boy, 8, youngest to climb Old Man of Hoy https://t.co/ReLsewDDlx",26,0.0,0.0,1.0,0.0
27,BBCNews,Australia 18-9 Ireland: Tourists' 12-game winning run comes to an end https://t.co/ZYiTjpCWIW,27,0.5267,0.236,0.764,0.0
28,BBCNews,The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's offi… https://t.co/SlJuDPXe7m,28,0.0,0.0,1.0,0.0
29,BBCNews,A 41 gun salute is fired to mark the Queen's official birthday at the Trooping the Colour ceremony in London… https://t.co/JhOinaavAW,29,-0.7184,0.0,0.75,0.25
30,BBCNews,World Cup 2018: Can you name the losing finalists from previous tournaments? https://t.co/RSNuvOYgU3,30,-0.3818,0.0,0.822,0.178
31,BBCNews,RT @bbcweather: Plenty of broken cloud and sunshine for most this afternoon but some sharp showers a nuisance too! Lou L https://t.co/BowtJ…,31,0.088,0.107,0.802,0.091
32,BBCNews,ICYMI: Beauty pageants and Star Wars - burlesque style https://t.co/DAJNwy5PoO,32,0.0516,0.264,0.486,0.25
33,BBCNews,England v South Africa: Heather Knight is dismissed by Marizanne Kapp https://t.co/1H8NOhH2iP,33,0.0,0.0,1.0,0.0
34,BBCNews,Trump and Macron in handshake showdown at G7 summit https://t.co/8Oq87iulUd,34,0.0,0.0,1.0,0.0
35,BBCNews,The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke… https://t.co/pSKtDyPg6q,35,0.0,0.0,1.0,0.0
36,BBCNews,Five ways Paul Dacre's Daily Mail left its mark on Britain https://t.co/v5yBMpXygv,36,0.0,0.0,1.0,0.0
37,BBCNews,'Bride of Belsen' Gena Turgel dies at 95 https://t.co/k2y5Xyj69h,37,0.0,0.0,1.0,0.0
38,BBCNews,Tyson Fury v Sefer Seferi: An unusual heavyweight weigh-in https://t.co/MH1Nizl9CX,38,-0.5719,0.0,0.684,0.316
39,BBCNews,Trooping the Colour: Meghan and Harry join Queen at parade https://t.co/lVdEeeeUHZ,39,0.296,0.18,0.82,0.0
40,BBCNews,England for the World Cup? SNP delegates on football loyalties https://t.co/9gLG2cOBQi,40,0.4404,0.225,0.775,0.0
41,BBCNews,Game of Thrones: HBO orders spinoff prequel pilot https://t.co/nkuSCMfz1b,41,0.0,0.0,1.0,0.0
42,BBCNews,"RT @BBCWorld: Form is temporary, class is permanent. Which counts more at the World Cup? 
⚽🏃‍♂️ @BBCRealityCheck has crunched the numbers
h…",42,0.0,0.0,1.0,0.0
43,BBCNews,G7 summit dogged by divisions between Trump and allies https://t.co/KIa4SMpuwh,43,0.0,0.0,1.0,0.0
44,BBCNews,'No dogs allowed' - but what about my assistance dog? https://t.co/xNAlYEacoO,44,-0.1531,0.0,0.849,0.151
45,BBCNews,Birthday Honours 2018: Network Rail boss made CBE amid travel chaos https://t.co/kHWuDHQ9VV,45,-0.128,0.189,0.592,0.219
46,BBCNews,Canadian GP: Fernando Alonso says 'I'm one of F1's best ever' https://t.co/p81nnU1g6j,46,0.6369,0.276,0.724,0.0
47,BBCNews,South Africa v England: Siya Kolisi - the Springboks captain uniting a country https://t.co/QTMak9yU1c,47,0.0,0.0,1.0,0.0
48,BBCNews,Meat traces 'found in supermarket vegetarian meals' https://t.co/SIiQRLgK3Z,48,0.0,0.0,1.0,0.0
49,BBCNews,Maria Esther Bueno: Brazilian star of 1960s women's tennis dies https://t.co/NMc3hai0V5,49,0.0,0.0,1.0,0.0
50,BBCNews,"Boy, 14, charged over string of moped thefts in north London https://t.co/ulne7N3EOv",50,-0.2023,0.0,0.859,0.141
51,BBCNews,Pregnant and anorexic: 'I was told my baby could die' https://t.co/agj4vcYoSS,51,-0.5994,0.0,0.719,0.281
52,BBCNews,US election 2018: The women lining up to topple Trump https://t.co/1kql7F8lMI,52,0.0,0.0,1.0,0.0
53,BBCNews,Week in pictures: 2 - 8 June 2018 https://t.co/Yt5FdlgG0H,53,0.0,0.0,1.0,0.0
54,BBCNews,Barbed wire and smuggled crabs: Watching North Korea from China https://t.co/g1OL6JN7gt,54,-0.3612,0.0,0.8,0.2
55,BBCNews,Anthony Bourdain: Why his travel shows had global appeal https://t.co/0ek8fVzGLJ,55,0.0,0.0,1.0,0.0
56,BBCNews,Trump Kim summit: Who's pulling the strings? https://t.co/MYuBFgLPGc,56,0.0,0.0,1.0,0.0
57,BBCNews,World Cup 2018: Does form matter for teams competing in Russia? https://t.co/eoIaJmbOZU,57,0.0258,0.091,0.909,0.0
58,BBCNews,It's the world's longest non-stop flight... for now https://t.co/ZUUS3UK2Xn,58,0.0,0.0,1.0,0.0
59,BBCNews,Tayyaba abuse case shines light on Pakistan's child maids https://t.co/mL3puqGfC9,59,-0.6369,0.0,0.682,0.318
60,BBCNews,Suffrage centenary: The women getting creative and going on the march https://t.co/EbQCWL2n2I,60,0.4404,0.209,0.791,0.0
61,BBCNews,Why Russian workers are being taught how to smile https://t.co/vY98gixMx9,61,0.3612,0.217,0.783,0.0
62,BBCNews,More than a million on social housing waiting lists https://t.co/J3BQozhQUf,62,0.0,0.0,1.0,0.0
63,BBCNews,Trooping the Colour: Guardsman first to wear turban https://t.co/EiQZvEI7DS,63,0.0,0.0,1.0,0.0
64,BBCNews,Business leaders urged to help run schools https://t.co/gIrgtPRcY5,64,0.4019,0.278,0.722,0.0
65,BBCNews,Queen’s Birthday Honours 2018: Underwater photographer gets MBE https://t.co/MtjFZyjpy0,65,0.4939,0.286,0.714,0.0
66,BBCNews,China hackers steal data from US Navy contractor - reports https://t.co/EO3OrqqlRD,66,-0.4939,0.0,0.738,0.262
67,BBCNews,Newspaper headlines: Birthday honours and a disruptive President Trump https://t.co/WE0tztTAEu,67,0.2263,0.256,0.56,0.184
68,BBCNews,French Open 2018: Simona Halep aims for maiden Grand Slam title https://t.co/ZaDcfJtZV0,68,0.1027,0.192,0.641,0.167
69,BBCNews,Queen’s Birthday Honours 2018: Lizzy Yarnold becomes OBE https://t.co/npOYSIKoFi,69,0.4939,0.286,0.714,0.0
70,BBCNews,Queen’s Birthday Honours 2018: MBE for TV gardener Monty Don https://t.co/NLu1eq0cNk,70,0.4939,0.242,0.758,0.0
71,BBCNews,"Queen’s Birthday Honours 2018: Poppy seller, 103, gets MBE https://t.co/vJmlNdMOEZ",71,0.4939,0.262,0.738,0.0
72,BBCNews,Queen’s Birthday Honours 2018: Nurse for first HIV patients gets OBE https://t.co/DFtlDgptjO,72,0.4939,0.225,0.775,0.0
73,BBCNews,Leo Varadkar is first taoiseach to visit Orange Order HQ https://t.co/Fz3BqrT4zU,73,0.0,0.0,1.0,0.0
74,BBCNews,Could an emoji save your life? https://t.co/yKQEpIIeKy,74,0.4939,0.348,0.652,0.0
75,BBCNews,Anthony Bourdain: Five of his tips for eating out https://t.co/O8UHzvePFG,75,0.0,0.0,1.0,0.0
76,BBCNews,Birthday Honours 2018: Health workers honoured in NHS 70th year https://t.co/JOYploUs7f,76,0.7506,0.416,0.584,0.0
77,BBCNews,Taylor Swift praises Manchester's 'incredible resilience' as UK tour launches https://t.co/W5ljCGMlPT,77,0.6369,0.366,0.634,0.0
78,BBCNews,Trump Kim: Impersonators buddy up in Singapore https://t.co/v1FmqlErzf,78,0.0,0.0,1.0,0.0
79,BBCNews,Brexit trade proposals will not be published until after EU summit https://t.co/Bx9yWmBS5v,79,0.0,0.0,1.0,0.0
80,BBCNews,"Saturday’s Telegraph: ""Meat found in vegan ready meals"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/Qwmok5xuBX",80,0.3612,0.172,0.828,0.0
81,BBCNews,"Saturday’s Express: ""New law to tackle moped muggers"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/UtUQLCk6yt",81,0.0,0.0,1.0,0.0
82,BBCNews,"Saturday’s Daily Mail: ""Off the rails!"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/v8a1aZkBmj",82,0.0,0.0,1.0,0.0
83,BBCNews,"Saturday’s Guardian: ""Army ads targeting stressed teenagers"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/Lg0fYYcbGL",83,-0.34,0.0,0.821,0.179
84,BBCNews,"Saturday’s Sun: ""Tosh &amp; Becks"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/tqo84swF0g",84,0.0,0.0,1.0,0.0
85,BBCNews,"Saturday’s Times: ""Trump turns up the heat as G7 splits over Russia"" #tomorrowspaperstoday #bbcpapers (via… https://t.co/EXbSG1x8vR",85,0.0,0.0,1.0,0.0
86,BBCNews,"Saturday's Mirror: ""Sir Kenny"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/50XuaBXtHG",86,0.0,0.0,1.0,0.0
87,BBCNews,"Saturday's i: ""Birthday honours for the best of British"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/pG68kIY6GZ",87,0.8126,0.381,0.619,0.0
88,BBCNews,"Saturday's FT: ""BT cuts off Patterson to calm City"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/6A2AgGF3Yx",88,0.0258,0.139,0.727,0.133
89,BBCNews,Super League: St Helens 26-4 Hull Kingston Rovers https://t.co/9oNaXzNxw1,89,0.5994,0.328,0.672,0.0
90,BBCNews,Richard Scudamore: Premier League chief plays down prospect of European super league https://t.co/MVs26qXe6G,90,0.7964,0.448,0.552,0.0
91,BBCNews,Birthday Honours 2018: Twelve famous faces https://t.co/87DmVSVOmx,91,0.4939,0.348,0.652,0.0
92,BBCNews,Sir Elton John urges social media boycott over hate speech https://t.co/R1daWpz9yt,92,-0.7184,0.0,0.6,0.4
93,BBCNews,Birthday Honours 2018: Kenny Dalglish and Emma Thompson head list https://t.co/aXo0xyY9qk,93,0.4939,0.242,0.758,0.0
94,BBCNews,"Queen's Birthday Honours: Kenny Dalglish knighted, Anthony Joshua becomes OBE https://t.co/G0PkxEUruf",94,0.4939,0.242,0.758,0.0
95,BBCNews,Women's World Cup Qualifying: Russia Women 1-3 England Women highlights https://t.co/hX6MpJm6Kg,95,0.0,0.0,1.0,0.0
96,BBCNews,Jean-Pierre Bemba: Congo warlord's conviction overturned https://t.co/e1aavIKy8y,96,0.0,0.0,1.0,0.0
97,BBCNews,US soldier killed in Somalia firefight https://t.co/OxESIdTqNR,97,-0.6705,0.0,0.571,0.429
98,BBCNews,Max Verstappen quickest in Canadian GP second practice https://t.co/sJAe8ZrWsw,98,0.0,0.0,1.0,0.0
99,BBCNews,World Cup warm-up match: Germany 2-1 Saudi Arabia https://t.co/SINZ1rcpR3,99,0.0,0.0,1.0,0.0
100,CBSNews,"Shahab fled Iran after he was beaten and jailed for converting to Christianity. Now in the U.S., he’s free from all… https://t.co/0fctuXaeRS",0,-0.4019,0.117,0.671,0.212
101,CBSNews,Russian President Vladimir Putin was caught delicately crafting dumplings Friday during his visit to China https://t.co/beLeCP6unJ,1,0.1779,0.116,0.809,0.075
102,CBSNews,Doctors told her parents she likely wouldn't live long— then that she would never walk. This 19-year-old with cereb… https://t.co/SKziTGHEFj,2,0.0,0.0,1.0,0.0
103,CBSNews,The 2018 Belmont Stakes is set to take place this evening -- and one horse is hoping to win the Triple Crown… https://t.co/lQDgMcPIPd,3,0.765,0.239,0.761,0.0
104,CBSNews,"Ahead of the highly-anticipated summit with North Korea, @CBSEveningNews anchor @JeffGlor is in Singapore:… https://t.co/MnZjShPdgw",4,0.0,0.0,1.0,0.0
105,CBSNews,"Electric cars are already here. Now, companies are looking to move the technology into another space: airplanes.… https://t.co/JhtJSzubZs",5,0.0,0.0,1.0,0.0
106,CBSNews,RT @CBSThisMorning: .@TheTonyAwards are on @CBS tomorrow night! Here’s a look at some of the preparations ahead of Broadway’s biggest night…,6,0.0,0.0,1.0,0.0
107,CBSNews,President Trump said it won't take long for him to tell if North Korean leader Kim Jong Un is serious about denucle… https://t.co/sKVAqhatkJ,7,-0.0772,0.0,0.944,0.056
108,CBSNews,The family in charge of the Singapore hotel hosting the U.S.-North Korea summit shares Trump-like ambition… https://t.co/sDTZlDpuBg,8,0.296,0.121,0.879,0.0
109,CBSNews,"Top-ranked Simona Halep wins the #FrenchOpen by defeating Sloane Stephens 3-6, 6-4, 6-1 https://t.co/en40gwzJJT https://t.co/SHLFffYyEO",9,0.2732,0.192,0.674,0.135
110,CBSNews,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/1CyQsRrk9D",10,-0.1154,0.0,0.935,0.065
111,CBSNews,The Afghan Taliban announced a 3-day cease-fire for the Eid al-Fitr holiday at the end of the holy month of Ramadan… https://t.co/CrcHIAuFe1,11,0.4019,0.119,0.881,0.0
112,CBSNews,"President Trump says he will ""know in the first minute"" whether North Korean leader Kim Jong Un is ""serious"" about… https://t.co/47Aqo1HEga",12,0.0,0.0,1.0,0.0
113,CBSNews,Prince Harry and Meghan Markle joined the pageantry of the annual Trooping the Color ceremony to celebrate Queen El… https://t.co/0YsALCVVNH,13,0.5719,0.163,0.837,0.0
114,CBSNews,WATCH: Take a look at how the coastline of Hawaii's Big Island has changed since the Kilauea volcano began erupting… https://t.co/MhZSAxyHnr,14,0.0,0.0,1.0,0.0
115,CBSNews,4 U.S. service members who were wounded in an extremist attack in Somalia that killed one special operations soldie… https://t.co/bcEyYzRuJl,15,-0.7096,0.103,0.608,0.289
116,CBSNews,"Reporter: How long do you think it will take you to figure out whether Kim Jong Un is serious?

President Trump: “I… https://t.co/OBU0BrL9qf",16,-0.0772,0.0,0.944,0.056
117,CBSNews,"President Trump says the U.S. relationship with its allies ""is a 10"" following G-7 summit https://t.co/syywHUMwLG https://t.co/mtKO3vrHT7",17,0.0,0.0,1.0,0.0
118,CBSNews,"""You know, Obama can say all he wants, but he allowed Russia to take Crimea. I may have had a much different attitu… https://t.co/E3sMsGuxnK",18,0.0,0.0,1.0,0.0
119,CBSNews,"""Tariffs are going to come way down because we people cannot continue to do that,"" President Trump says. ""We are li… https://t.co/oU0EL8VFIN",19,0.0,0.0,1.0,0.0
120,CBSNews,"""I think it would be an asset to have Russia back in [the G-7]. I think it would be good for the world,"" President… https://t.co/SjvNCse3XM",20,0.6597,0.197,0.803,0.0
121,CBSNews,"""I really feel confident. I feel that Kim Jong Un wants to do something great for his people, and he has that oppor… https://t.co/vife8VEUjx",21,0.8214,0.265,0.735,0.0
122,CBSNews,"""I will be on a mission of peace, and we will carry in, really -- in my heart, we are going to be carrying the hear… https://t.co/kAORBwtI0w",22,0.5423,0.123,0.877,0.0
123,CBSNews,"""We want and expect other nation to provide fair market access to American exports and that we will take whatever s… https://t.co/Ss7moC0GQc",23,0.3818,0.153,0.847,0.0
124,CBSNews,WATCH LIVE: President Trump delivers statement at G-7 summit as he prepares to head to Singapore for meeting with N… https://t.co/8ZKOqjf4qs,24,0.0,0.0,1.0,0.0
125,CBSNews,"For more than a year, Florida failed to do national background checks that could have disqualified people from gain… https://t.co/hvt09tJdaV",25,-0.7269,0.0,0.736,0.264
126,CBSNews,Can President Trump and Kim Jong Un end the 68-year-old Korean War? https://t.co/yJYhxdnN74 https://t.co/z54J6O7jJK,26,-0.5994,0.0,0.769,0.231
127,CBSNews,Search teams have located the body of a woman who vanished Friday in a suspected alligator attack… https://t.co/wg7RX1ZqLv,27,-0.2263,0.0,0.888,0.112
128,CBSNews,"""Zero trust"" between U.S. and North Korea ahead of historic summit https://t.co/2bT4TFLoUf https://t.co/8VpZ7gHoRk",28,0.5106,0.216,0.784,0.0
129,CBSNews,"University offers $3,500 to get sick and stay in ""Hotel Influenza"" https://t.co/pHdAork3OW https://t.co/pnJwdLVXQE",29,-0.5106,0.0,0.784,0.216
130,CBSNews,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/oQxTlSaIMO https://t.co/RPOft178nu",30,-0.0258,0.0,0.927,0.073
131,CBSNews,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/P61Ja7u7kS https://t.co/1OI79KPaIj",31,-0.8481,0.0,0.521,0.479
132,CBSNews,Former Senate Intel staffer accused of lying to FBI makes first court appearance https://t.co/Ci68UqgVxb https://t.co/tLQ2bY4iDB,32,-0.6808,0.0,0.699,0.301
133,CBSNews,Teen escorted from U.S. by ICE slain soon after in Mexico: Report https://t.co/JWiopRQHMA https://t.co/QDGXtfRMjl,33,0.0,0.0,1.0,0.0
134,CBSNews,Fox News' Charles Krauthammer says he has weeks to live https://t.co/4HPbRwLsAc https://t.co/wz1UiswLri,34,0.0,0.0,1.0,0.0
135,CBSNews,Palestinians killed in protest near Israel-Gaza border https://t.co/DhtoKuJN9x https://t.co/qGbxFIUtK2,35,-0.7579,0.0,0.519,0.481
136,CBSNews,Group photo masks underlying tension at G-7 summit https://t.co/gWeG8c22fI https://t.co/2Aqe8J9lyH,36,-0.3182,0.0,0.796,0.204
137,CBSNews,"Mom in ""affluenza"" case in Texas jail after positive drug test https://t.co/BdS7ls5VfD https://t.co/07u57WLNPp",37,0.5574,0.231,0.769,0.0
138,CBSNews,Stars react to Anthony Bourdain's death https://t.co/XaqFFj4SOP https://t.co/i6KvwcoZeI,38,-0.5994,0.0,0.642,0.358
139,CBSNews,$315M Powerball Jackpot winner comes forward https://t.co/ld8gpKWB2g https://t.co/MDyi8AsNCn,39,0.5859,0.352,0.648,0.0
140,CBSNews,Former security chief for Senate Intelligence Committee indicted https://t.co/WWaotj7p68 https://t.co/XSkfk4QC4s,40,0.6705,0.407,0.593,0.0
141,CBSNews,Teen's arrest prompts new use-of-force investigation for Mesa police https://t.co/AomCZUrMUq https://t.co/2NSzowvnSO,41,-0.34,0.0,0.806,0.194
142,CBSNews,Stormy Daniels' former attorney countersues https://t.co/CHACqidrrE https://t.co/j0JS2Q636P,42,0.0,0.0,1.0,0.0
143,CBSNews,5 dangerous myths about Social Security https://t.co/L97dCCNTK4 https://t.co/nJTclEeU31,43,-0.1779,0.229,0.476,0.295
144,CBSNews,"Suspect in fatal crash tells TV station: ""People hit and run people all the time"" https://t.co/ZUpGexiSHj https://t.co/ri9u6P6eBF",44,-0.8126,0.0,0.625,0.375
145,CBSNews,High school valedictorian says mic was cut before speaking about sex assault https://t.co/VHy6P86iZW https://t.co/vr3OZuZ8NN,45,-0.7096,0.0,0.67,0.33
146,CBSNews,Woman who led private investigator to stepson's decomposing remains found dead https://t.co/ifW3Y8NNWh https://t.co/fINIm2HenM,46,-0.6486,0.0,0.736,0.264
147,CBSNews,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/dZbiYaOlNs https://t.co/nGg2JYkFQv",47,-0.0258,0.0,0.927,0.073
148,CBSNews,"University offers $3,500 to get sick and stay in ""Hotel Influenza"" https://t.co/qmdxJHvro3 https://t.co/Ay5D1Hnrk9",48,-0.5106,0.0,0.784,0.216
149,CBSNews,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/NSvhsLD5YS https://t.co/Es5pmEwguh",49,-0.8481,0.0,0.521,0.479
150,CBSNews,"Asia Argento, girlfriend of Anthony Bourdain, ""beyond devastated"" https://t.co/iYY5HTPcVe https://t.co/twNUJmiCIp",50,-0.6124,0.0,0.692,0.308
151,CBSNews,Fox News' Charles Krauthammer says he has weeks to live https://t.co/fbQ25GCArj https://t.co/7YOc4ptMl0,51,0.0,0.0,1.0,0.0
152,CBSNews,"Researchers say they're on the verge of creating a revolutionary, non-addictive painkiller https://t.co/u9kM4XUWXI https://t.co/KJLneHl9Xg",52,0.296,0.155,0.845,0.0
153,CBSNews,Palestinians killed in protest near Israel-Gaza border https://t.co/Gcf57qhHp6 https://t.co/yEeiclWjS0,53,-0.7579,0.0,0.519,0.481
154,CBSNews,"Trump says he may pardon Muhammad Ali, who does not need a pardon https://t.co/CSfrmCESau https://t.co/lEbE35xvkE",54,0.5574,0.277,0.723,0.0
155,CBSNews,Stars react to Anthony Bourdain's death https://t.co/ZAvjD1gHKv https://t.co/Xzyn9wv60j,55,-0.5994,0.0,0.642,0.358
156,CBSNews,"Mom in ""affluenza"" case in Texas jail after positive drug test https://t.co/Aryj6AEkAZ https://t.co/K39a1CtDfC",56,0.5574,0.231,0.769,0.0
157,CBSNews,Kate Spade's father said he spoke to her the night before she died https://t.co/hPhLaiRl9K https://t.co/xbutyk3sKb,57,-0.5574,0.0,0.795,0.205
158,CBSNews,$315M Powerball Jackpot winner comes forward https://t.co/EtmEQjQ1iD https://t.co/wzu4QQsb9J,58,0.5859,0.352,0.648,0.0
159,CBSNews,Teen's arrest prompts new use-of-force investigation for Mesa police https://t.co/Ojn5ufeZQW https://t.co/P2IlJl7Y8v,59,-0.34,0.0,0.806,0.194
160,CBSNews,Stormy Daniels' former attorney countersues https://t.co/9TcJ8awSG0 https://t.co/Y7HjJ8RZAA,60,0.0,0.0,1.0,0.0
161,CBSNews,5 dangerous myths about Social Security https://t.co/eJR8SNXxF6 https://t.co/bpF6XXuB01,61,-0.1779,0.229,0.476,0.295
162,CBSNews,High school valedictorian says mic was cut before speaking about sex assault https://t.co/HPzGQvfP6v https://t.co/y4vjIuSSbB,62,-0.7096,0.0,0.67,0.33
163,CBSNews,Woman who led private investigator to stepson's decomposing remains found dead https://t.co/tIzWD3pZII https://t.co/EylAtAJMjM,63,-0.6486,0.0,0.736,0.264
164,CBSNews,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/vbyN5oULaN https://t.co/7WLUMDNYDH",64,-0.0258,0.0,0.927,0.073
165,CBSNews,"The Warriors defeated LeBron James and the Cavaliers 108-85, completing a perfect 4-0 sweep https://t.co/Byn9sLKXGL https://t.co/V4KNZy4IAt",65,0.1531,0.187,0.657,0.157
166,CBSNews,Woman missing after reported alligator attack in Florida https://t.co/GP0MEsucEt https://t.co/Bs3cVoxsSk,66,-0.6486,0.0,0.602,0.398
167,CBSNews,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/p2zYrsgywF https://t.co/rKKuaUzghZ",67,-0.8481,0.0,0.521,0.479
168,CBSNews,"Asia Argento, girlfriend of Anthony Bourdain, ""beyond devastated"" https://t.co/e1GU9vOKPn https://t.co/RrDJwtAUm4",68,-0.6124,0.0,0.692,0.308
169,CBSNews,Fox News' Charles Krauthammer says he has weeks to live https://t.co/jIOUmPjHSU https://t.co/jIGRsinthx,69,0.0,0.0,1.0,0.0
170,CBSNews,Revelations of a Chinese cyberattack on a U.S. Navy contractor comes days before President Trump attends a summit w… https://t.co/nJQCbqjMaP,70,0.0,0.0,1.0,0.0
171,CBSNews,"""The future is now"": Policymakers and businesses are ill-prepared to help workers navigate the transition and adapt… https://t.co/fzNPQYkxY7",71,0.4019,0.137,0.863,0.0
172,CBSNews,"Honda slates its Super Cub, the best selling motor vehicle of all time, for a rerelease in the U.S. next year… https://t.co/G24r4LbrgS",72,0.8442,0.299,0.701,0.0
173,CBSNews,"Whichever team wins the NBA championship, President Trump says he won't be inviting them to the White House:… https://t.co/1IAxkFizbd",73,0.6846,0.269,0.651,0.08
174,CBSNews,Special counsel brings new charges against President Trump's campaign chairman Paul Manafort and a longtime associa… https://t.co/Zdgogo6XPW,74,0.1531,0.144,0.745,0.112
175,CBSNews,"""We appreciate President Trump's sentiment, but a pardon is unnecessary,"" says the lawyer for late heavyweight boxi… https://t.co/kMg5ejkSoP",75,0.5859,0.242,0.758,0.0
176,CBSNews,"The threats facing our oceans might seem like an overwhelming tsunami of problems, but there is still hope. Here ar… https://t.co/pQVVMv5yCH",76,0.431,0.213,0.645,0.142
177,CBSNews,"If you or someone you know is struggling or in crisis, you are not alone. https://t.co/OzkLuk4t2k https://t.co/6ewHgkL6mp",77,-0.7319,0.077,0.618,0.305
